id,german,english,german_sentence,english_sentence
757,dick,thick,Mit 'dick' kann man viele Sätze bilden.,With 'dick' you can form many sentences.
758,Soldat,soldier,"Gestern habe ich ein Buch gelesen, in dem oft 'Soldat' stand.",Yesterday I read a book in which often 'Soldat' appeared.
759,Prozess,process,"Kannst du mir bitte erklären, was 'Prozess' bedeutet?",Can you please explain to me what 'Prozess' means?
760,betreiben,operate,"Kannst du mir bitte erklären, was 'betreiben' bedeutet?",Can you please explain to me what 'betreiben' means?
761,Praxis,practice,"Kannst du mir bitte erklären, was 'Praxis' bedeutet?",Can you please explain to me what 'Praxis' means?
762,trennen,separate,'trennen' ist ein wichtiges Wort in der deutschen Sprache.,'trennen' is an important word in the German language.
763,schwierig,difficult,Mit 'schwierig' kann man viele Sätze bilden.,With 'schwierig' you can form many sentences.
764,Arzt,doctor,Mit 'Arzt' kann man viele Sätze bilden.,With 'Arzt' you can form many sentences.
765,Bitte,please,Ich benutze oft das Wort 'Bitte' im Alltag.,I often use the word 'Bitte' in daily life.
766,schützen,protect,"Kannst du mir bitte erklären, was 'schützen' bedeutet?",Can you please explain to me what 'schützen' means?
767,Mittag,noon,"Kannst du mir bitte erklären, was 'Mittag' bedeutet?",Can you please explain to me what 'Withtag' means?
768,Ernte,crop,Ich benutze oft das Wort 'Ernte' im Alltag.,I often use the word 'Ernte' in daily life.
769,modernen,modern,"Kannst du mir bitte erklären, was 'modernen' bedeutet?",Can you please explain to me what 'modernen' means?
770,Elementes,element,Ich benutze oft das Wort 'Elementes' im Alltag.,I often use the word 'Elementes' in daily life.
771,treffen,hit,"Kannst du mir bitte erklären, was 'treffen' bedeutet?",Can you please explain to me what 'treffen' means?
772,Schüler,student,"Gestern habe ich ein Buch gelesen, in dem oft 'Schüler' stand.",Yesterday I read a book in which often 'Schüler' appeared.
773,Ecke,corner,"Gestern habe ich ein Buch gelesen, in dem oft 'Ecke' stand.",Yesterday I read a book in which often 'Ecke' appeared.
774,Partei,party,"Gestern habe ich ein Buch gelesen, in dem oft 'Partei' stand.",Yesterday I read a book in which often 'Partei' appeared.
775,Versorgung,supply,Mit 'Versorgung' kann man viele Sätze bilden.,With 'Versorgung' you can form many sentences.
776,deren,whose,"Gestern habe ich ein Buch gelesen, in dem oft 'deren' stand.",Yesterday I read a book in which often 'deren' appeared.
777,lokalisieren,locate,'lokalisieren' ist ein wichtiges Wort in der deutschen Sprache.,'lokalisieren' is an important word in the German language.
778,Rings,ring,"Gestern habe ich ein Buch gelesen, in dem oft 'Rings' stand.",Yesterday I read a book in which often 'Rings' appeared.
779,Charakter,character,Ich benutze oft das Wort 'Charakter' im Alltag.,I often use the word 'Charakter' in daily life.
780,insekt,insect,"Gestern habe ich ein Buch gelesen, in dem oft 'insekt' stand.",Yesterday I read a book in which often 'insekt' appeared.
781,gefangen,caught,'gefangen' ist ein wichtiges Wort in der deutschen Sprache.,'gefangen' is an important word in the German language.
782,Zeit,period,Mit 'Zeit' kann man viele Sätze bilden.,With 'Zeit' you can form many sentences.
783,zeigen,indicate,Ich benutze oft das Wort 'zeigen' im Alltag.,I often use the word 'zeigen' in daily life.
784,Funk,radio,Ich benutze oft das Wort 'Funk' im Alltag.,I often use the word 'Funk' in daily life.
785,Speiche,spoke,"Gestern habe ich ein Buch gelesen, in dem oft 'Speiche' stand.",Yesterday I read a book in which often 'Speiche' appeared.
786,Atom,atom,"Gestern habe ich ein Buch gelesen, in dem oft 'Atom' stand.",Yesterday I read a book in which often 'Atom' appeared.
787,Mensch,human,Mit 'Mensch' kann man viele Sätze bilden.,With 'Mensch' you can form many sentences.
788,Geschichte,history,Ich benutze oft das Wort 'Geschichte' im Alltag.,I often use the word 'Geschichte' in daily life.
789,Wirkung,effect,"Gestern habe ich ein Buch gelesen, in dem oft 'Wirkung' stand.",Yesterday I read a book in which often 'Wirkung' appeared.
790,elektrisch,electric,'elektrisch' ist ein wichtiges Wort in der deutschen Sprache.,'elektrisch' is an important word in the German language.
791,erwarten,expect,'erwarten' ist ein wichtiges Wort in der deutschen Sprache.,'erwarten' is an important word in the German language.
792,Knochen,bone,"Gestern habe ich ein Buch gelesen, in dem oft 'Knochen' stand.",Yesterday I read a book in which often 'Knochen' appeared.
793,Schiene,rail,"Kannst du mir bitte erklären, was 'Schiene' bedeutet?",Can you please explain to me what 'Schiene' means?
794,vorstellen,imagine,"Kannst du mir bitte erklären, was 'vorstellen' bedeutet?",Can you please explain to me what 'vorstellen' means?
795,bieten,provide,'bieten' ist ein wichtiges Wort in der deutschen Sprache.,'bieten' is an important word in the German language.
796,zustimmen,agree,"Kannst du mir bitte erklären, was 'zustimmen' bedeutet?",Can you please explain to me what 'zustimmen' means?
797,so,thus,Mit 'so' kann man viele Sätze bilden.,With 'so' you can form many sentences.
798,sanft,gentle,Ich benutze oft das Wort 'sanft' im Alltag.,I often use the word 'sanft' in daily life.
799,Frau,woman,Mit 'Frau' kann man viele Sätze bilden.,With 'Frau' you can form many sentences.
800,Kapitän,captain,'Kapitän' ist ein wichtiges Wort in der deutschen Sprache.,'Kapitän' is an important word in the German language.
801,erraten,guess,"Gestern habe ich ein Buch gelesen, in dem oft 'erraten' stand.",Yesterday I read a book in which often 'erraten' appeared.
802,erforderlich,necessary,"Kannst du mir bitte erklären, was 'erforderlich' bedeutet?",Can you please explain to me what 'erforderlich' means?
803,scharf,sharp,"Gestern habe ich ein Buch gelesen, in dem oft 'scharf' stand.",Yesterday I read a book in which often 'scharf' appeared.
804,Flügel,wing,"Kannst du mir bitte erklären, was 'Flügel' bedeutet?",Can you please explain to me what 'Flügel' means?
805,schaffen,create,'schaffen' ist ein wichtiges Wort in der deutschen Sprache.,'schaffen' is an important word in the German language.
806,Nachbar,neighbor,Mit 'Nachbar' kann man viele Sätze bilden.,With 'Nachbar' you can form many sentences.
807,Wasch,wash,"Gestern habe ich ein Buch gelesen, in dem oft 'Wasch' stand.",Yesterday I read a book in which often 'Wasch' appeared.
808,Fledermaus,bat,"Kannst du mir bitte erklären, was 'Fledermaus' bedeutet?",Can you please explain to me what 'Fledermaus' means?
809,eher,rather,'eher' ist ein wichtiges Wort in der deutschen Sprache.,'eher' is an important word in the German language.
810,Menge,crowd,Mit 'Menge' kann man viele Sätze bilden.,With 'Menge' you can form many sentences.
811,mais,corn,Ich benutze oft das Wort 'mais' im Alltag.,I often use the word 'mais' in daily life.
812,vergleichen,compare,Mit 'vergleichen' kann man viele Sätze bilden.,With 'vergleichen' you can form many sentences.
813,Gedicht,poem,Ich benutze oft das Wort 'Gedicht' im Alltag.,I often use the word 'Gedicht' in daily life.
814,Schnur,string,Ich benutze oft das Wort 'Schnur' im Alltag.,I often use the word 'Schnur' in daily life.
815,Glocke,bell,Ich benutze oft das Wort 'Glocke' im Alltag.,I often use the word 'Glocke' in daily life.
816,abhängen,depend,Ich benutze oft das Wort 'abhängen' im Alltag.,I often use the word 'abhängen' in daily life.
817,Fleisch,meat,Ich benutze oft das Wort 'Fleisch' im Alltag.,I often use the word 'Fleisch' in daily life.
818,einreiben,rub,Ich benutze oft das Wort 'einreiben' im Alltag.,I often use the word 'einreiben' in daily life.
819,Rohr,tube,"Gestern habe ich ein Buch gelesen, in dem oft 'Rohr' stand.",Yesterday I read a book in which often 'Rohr' appeared.
820,berühmt,famous,"Kannst du mir bitte erklären, was 'berühmt' bedeutet?",Can you please explain to me what 'berühmt' means?
921,Dollar,dollar,Mit 'Dollar' kann man viele Sätze bilden.,With 'Dollar' you can form many sentences.
822,Strom,stream,Mit 'Strom' kann man viele Sätze bilden.,With 'Strom' you can form many sentences.
823,Angst,fear,"Gestern habe ich ein Buch gelesen, in dem oft 'Angst' stand.",Yesterday I read a book in which often 'Angst' appeared.
284,Blick,sight,"Kannst du mir bitte erklären, was 'Blick' bedeutet?",Can you please explain to me what 'Blick' means?
825,dünn,thin,Ich benutze oft das Wort 'dünn' im Alltag.,I often use the word 'dünn' in daily life.
826,Dreieck,triangle,'Dreieck' ist ein wichtiges Wort in der deutschen Sprache.,'Dreieck' is an important word in the German language.
827,Erde,planet,"Kannst du mir bitte erklären, was 'Erde' bedeutet?",Can you please explain to me what 'Erde' means?
828,Eile,hurry,Ich benutze oft das Wort 'Eile' im Alltag.,I often use the word 'Eile' in daily life.
829,Chef,chief,"Kannst du mir bitte erklären, was 'Chef' bedeutet?",Can you please explain to me what 'Chef' means?
830,Kolonie,colony,"Gestern habe ich ein Buch gelesen, in dem oft 'Kolonie' stand.",Yesterday I read a book in which often 'Kolonie' appeared.
831,Uhr,clock,'Uhr' ist ein wichtiges Wort in der deutschen Sprache.,'Uhr' is an important word in the German language.
832,Mine,mine,Ich benutze oft das Wort 'Mine' im Alltag.,I often use the word 'Mine' in daily life.
833,Krawatte,tie,"Gestern habe ich ein Buch gelesen, in dem oft 'Krawatte' stand.",Yesterday I read a book in which often 'Krawatte' appeared.
834,eingeben,enter,"Kannst du mir bitte erklären, was 'eingeben' bedeutet?",Can you please explain to me what 'eingeben' means?
835,Dur,major,Ich benutze oft das Wort 'Dur' im Alltag.,I often use the word 'Dur' in daily life.
836,frisch,fresh,Mit 'frisch' kann man viele Sätze bilden.,With 'frisch' you can form many sentences.
837,Suche,search,'Suche' ist ein wichtiges Wort in der deutschen Sprache.,'Suche' is an important word in the German language.
838,senden,send,Mit 'senden' kann man viele Sätze bilden.,With 'senden' you can form many sentences.
839,gelb,yellow,Mit 'gelb' kann man viele Sätze bilden.,With 'gelb' you can form many sentences.
840,Pistole,gun,"Kannst du mir bitte erklären, was 'Pistole' bedeutet?",Can you please explain to me what 'Pistole' means?
841,erlauben,allow,"Gestern habe ich ein Buch gelesen, in dem oft 'erlauben' stand.",Yesterday I read a book in which often 'erlauben' appeared.
842,Druck,print,'Druck' ist ein wichtiges Wort in der deutschen Sprache.,'Druck' is an important word in the German language.
843,tot,dead,Mit 'tot' kann man viele Sätze bilden.,With 'tot' you can form many sentences.
844,Stelle,spot,'Stelle' ist ein wichtiges Wort in der deutschen Sprache.,'Stelle' is an important word in the German language.
845,Wüste,desert,Ich benutze oft das Wort 'Wüste' im Alltag.,I often use the word 'Wüste' in daily life.
846,Anzug,suit,"Gestern habe ich ein Buch gelesen, in dem oft 'Anzug' stand.",Yesterday I read a book in which often 'Anzug' appeared.
847,Strom,current,Ich benutze oft das Wort 'Strom' im Alltag.,I often use the word 'Strom' in daily life.
848,Aufzug,lift,"Gestern habe ich ein Buch gelesen, in dem oft 'Aufzug' stand.",Yesterday I read a book in which often 'Aufzug' appeared.
840,stiegen,rose,Ich benutze oft das Wort 'stiegen' im Alltag.,I often use the word 'stiegen' in daily life.
850,ankommen,arrive,Mit 'ankommen' kann man viele Sätze bilden.,With 'ankommen' you can form many sentences.
851,Stamm,master,Ich benutze oft das Wort 'Stamm' im Alltag.,I often use the word 'Stamm' in daily life.
852,Spur,track,"Kannst du mir bitte erklären, was 'Spur' bedeutet?",Can you please explain to me what 'Spur' means?
853,Elternteil,parent,"Kannst du mir bitte erklären, was 'Elternteil' bedeutet?",Can you please explain to me what 'Elternteil' means?
854,Ufer,shore,'Ufer' ist ein wichtiges Wort in der deutschen Sprache.,'Ufer' is an important word in the German language.
855,Teilung,division,"Gestern habe ich ein Buch gelesen, in dem oft 'Teilung' stand.",Yesterday I read a book in which often 'Teilung' appeared.
856,Blatt,sheet,"Kannst du mir bitte erklären, was 'Blatt' bedeutet?",Can you please explain to me what 'Blatt' means?
857,Substanz,substance,Ich benutze oft das Wort 'Substanz' im Alltag.,I often use the word 'Substanz' in daily life.
858,begünstigen,favor,"Gestern habe ich ein Buch gelesen, in dem oft 'begünstigen' stand.",Yesterday I read a book in which often 'begünstigen' appeared.
859,verbinden,connect,Mit 'verbinden' kann man viele Sätze bilden.,With 'verbinden' you can form many sentences.
860,nach,post,'nach' ist ein wichtiges Wort in der deutschen Sprache.,'nach' is an important word in the German language.
861,verbringen,spend,Ich benutze oft das Wort 'verbringen' im Alltag.,I often use the word 'verbringen' in daily life.
862,Akkord,chord,'Akkord' ist ein wichtiges Wort in der deutschen Sprache.,'Akkord' is an important word in the German language.
863,Fett,fat,"Kannst du mir bitte erklären, was 'Fett' bedeutet?",Can you please explain to me what 'Fett' means?
864,froh,glad,Ich benutze oft das Wort 'froh' im Alltag.,I often use the word 'froh' in daily life.
865,Original,original,"Gestern habe ich ein Buch gelesen, in dem oft 'Original' stand.",Yesterday I read a book in which often 'Original' appeared.
866,Aktie,share,"Kannst du mir bitte erklären, was 'Aktie' bedeutet?",Can you please explain to me what 'Aktie' means?
867,Station,station,"Gestern habe ich ein Buch gelesen, in dem oft 'Station' stand.",Yesterday I read a book in which often 'Station' appeared.
868,Papa,dad,"Kannst du mir bitte erklären, was 'Papa' bedeutet?",Can you please explain to me what 'Papa' means?
869,Brot,bread,'Brot' ist ein wichtiges Wort in der deutschen Sprache.,'Brot' is an important word in the German language.
870,aufladen,charge,"Gestern habe ich ein Buch gelesen, in dem oft 'aufladen' stand.",Yesterday I read a book in which often 'aufladen' appeared.
871,richtig,proper,'richtig' ist ein wichtiges Wort in der deutschen Sprache.,'richtig' is an important word in the German language.
872,Leiste,bar,'Leiste' ist ein wichtiges Wort in der deutschen Sprache.,'Leiste' is an important word in the German language.
873,Angebot,offer,Mit 'Angebot' kann man viele Sätze bilden.,With 'Angebot' you can form many sentences.
874,Segment,segment,Mit 'Segment' kann man viele Sätze bilden.,With 'Segment' you can form many sentences.
875,Sklave,slave,'Sklave' ist ein wichtiges Wort in der deutschen Sprache.,'Sklave' is an important word in the German language.
876,ente,duck,Mit 'ente' kann man viele Sätze bilden.,With 'ente' you can form many sentences.
877,Augenblick,instant,Ich benutze oft das Wort 'Augenblick' im Alltag.,I often use the word 'Augenblick' in daily life.
878,Markt,market,"Gestern habe ich ein Buch gelesen, in dem oft 'Markt' stand.",Yesterday I read a book in which often 'Markt' appeared.
879,Grad,degree,Mit 'Grad' kann man viele Sätze bilden.,With 'Grad' you can form many sentences.
880,besiedeln,populate,"Gestern habe ich ein Buch gelesen, in dem oft 'besiedeln' stand.",Yesterday I read a book in which often 'besiedeln' appeared.
881,küken,chick,Mit 'küken' kann man viele Sätze bilden.,With 'küken' you can form many sentences.
882,liebe,dear,'liebe' ist ein wichtiges Wort in der deutschen Sprache.,'liebe' is an important word in the German language.
883,Feind,enemy,Ich benutze oft das Wort 'Feind' im Alltag.,I often use the word 'Feind' in daily life.
884,antworten,reply,"Gestern habe ich ein Buch gelesen, in dem oft 'antworten' stand.",Yesterday I read a book in which often 'antworten' appeared.
885,Getränk,drink,'Getränk' ist ein wichtiges Wort in der deutschen Sprache.,'Getränk' is an important word in the German language.
886,auftreten,occur,Mit 'auftreten' kann man viele Sätze bilden.,With 'auftreten' you can form many sentences.
887,Unterstützung,support,'Unterstützung' ist ein wichtiges Wort in der deutschen Sprache.,'Unterstützung' is an important word in the German language.
888,Rede,speech,"Kannst du mir bitte erklären, was 'Rede' bedeutet?",Can you please explain to me what 'Rede' means?
889,Natur,nature,Ich benutze oft das Wort 'Natur' im Alltag.,I often use the word 'Natur' in daily life.
890,Angebot,range,"Kannst du mir bitte erklären, was 'Angebot' bedeutet?",Can you please explain to me what 'Angebot' means?
891,Dampf,steam,Mit 'Dampf' kann man viele Sätze bilden.,With 'Dampf' you can form many sentences.
892,Bewegung,motion,Ich benutze oft das Wort 'Bewegung' im Alltag.,I often use the word 'Bewegung' in daily life.
893,Weg,path,"Kannst du mir bitte erklären, was 'Weg' bedeutet?",Can you please explain to me what 'Weg' means?
894,Flüssigkeit,liquid,"Kannst du mir bitte erklären, was 'Flüssigkeit' bedeutet?",Can you please explain to me what 'Flüssigkeit' means?
895,protokollieren,log,Ich benutze oft das Wort 'protokollieren' im Alltag.,I often use the word 'protokollieren' in daily life.
896,gemeint,meant,"Gestern habe ich ein Buch gelesen, in dem oft 'gemeint' stand.",Yesterday I read a book in which often 'gemeint' appeared.
897,Quotient,quotient,'Quotient' ist ein wichtiges Wort in der deutschen Sprache.,'Quotient' is an important word in the German language.
898,Gebiss,teeth,Ich benutze oft das Wort 'Gebiss' im Alltag.,I often use the word 'Gebiss' in daily life.
899,Schale,shell,Ich benutze oft das Wort 'Schale' im Alltag.,I often use the word 'Schale' in daily life.
900,Hals,neck,Ich benutze oft das Wort 'Hals' im Alltag.,I often use the word 'Hals' in daily life.
901,Sauerstoff,oxygen,'Sauerstoff' ist ein wichtiges Wort in der deutschen Sprache.,'Sauerstoff' is an important word in the German language.
902,Zucker,sugar,Mit 'Zucker' kann man viele Sätze bilden.,With 'Zucker' you can form many sentences.
903,Tod,death,Ich benutze oft das Wort 'Tod' im Alltag.,I often use the word 'Tod' in daily life.
904,ziemlich,pretty,Mit 'ziemlich' kann man viele Sätze bilden.,With 'ziemlich' you can form many sentences.
905,Geschicklichkeit,skill,'Geschicklichkeit' ist ein wichtiges Wort in der deutschen Sprache.,'Geschicklichkeit' is an important word in the German language.
906,Frauen,women,Ich benutze oft das Wort 'Frauen' im Alltag.,I often use the word 'Frauen' in daily life.
907,Saison,season,"Kannst du mir bitte erklären, was 'Saison' bedeutet?",Can you please explain to me what 'Saison' means?
908,Lösung,solution,'Lösung' ist ein wichtiges Wort in der deutschen Sprache.,'Lösung' is an important word in the German language.
909,Magnet,magnet,"Gestern habe ich ein Buch gelesen, in dem oft 'Magnet' stand.",Yesterday I read a book in which often 'Magnet' appeared.
910,Silber,silver,Ich benutze oft das Wort 'Silber' im Alltag.,I often use the word 'Silber' in daily life.
911,danken,thank,"Gestern habe ich ein Buch gelesen, in dem oft 'danken' stand.",Yesterday I read a book in which often 'danken' appeared.
912,Zweig,branch,'Zweig' ist ein wichtiges Wort in der deutschen Sprache.,'Zweig' is an important word in the German language.
913,Spiel,match,'Spiel' ist ein wichtiges Wort in der deutschen Sprache.,'Spiel' is an important word in the German language.
914,Suffix,suffix,'Suffix' ist ein wichtiges Wort in der deutschen Sprache.,'Suffix' is an important word in the German language.
915,insbesondere,especially,Mit 'insbesondere' kann man viele Sätze bilden.,With 'insbesondere' you can form many sentences.
916,Feige,fig,'Feige' ist ein wichtiges Wort in der deutschen Sprache.,'Feige' is an important word in the German language.
917,ängstlich,afraid,Mit 'ängstlich' kann man viele Sätze bilden.,With 'ängstlich' you can form many sentences.
918,riesig,huge,Ich benutze oft das Wort 'riesig' im Alltag.,I often use the word 'riesig' in daily life.
919,Schwester,sister,Mit 'Schwester' kann man viele Sätze bilden.,With 'Schwester' you can form many sentences.
920,Stahl,steel,"Kannst du mir bitte erklären, was 'Stahl' bedeutet?",Can you please explain to me what 'Stahl' means?
921,diskutieren,discuss,'diskutieren' ist ein wichtiges Wort in der deutschen Sprache.,'diskutieren' is an important word in the German language.
922,vorwärts,forward,Mit 'vorwärts' kann man viele Sätze bilden.,With 'vorwärts' you can form many sentences.
923,ähnlich,similar,"Gestern habe ich ein Buch gelesen, in dem oft 'ähnlich' stand.",Yesterday I read a book in which often 'ähnlich' appeared.
924,führen,guide,Mit 'führen' kann man viele Sätze bilden.,With 'führen' you can form many sentences.
925,Erfahrung,experience,'Erfahrung' ist ein wichtiges Wort in der deutschen Sprache.,'Erfahrung' is an important word in the German language.
926,Partitur,score,Mit 'Partitur' kann man viele Sätze bilden.,With 'Partitur' you can form many sentences.
927,apfel,apple,"Gestern habe ich ein Buch gelesen, in dem oft 'apfel' stand.",Yesterday I read a book in which often 'apfel' appeared.
928,gekauft,bought,'gekauft' ist ein wichtiges Wort in der deutschen Sprache.,'gekauft' is an important word in the German language.
929,geführt,led,Ich benutze oft das Wort 'geführt' im Alltag.,I often use the word 'geführt' in daily life.
930,Tonhöhe,pitch,"Gestern habe ich ein Buch gelesen, in dem oft 'Tonhöhe' stand.",Yesterday I read a book in which often 'Tonhöhe' appeared.
931,Mantel,coat,Ich benutze oft das Wort 'Mantel' im Alltag.,I often use the word 'Mantel' in daily life.
932,Masse,mass,Mit 'Masse' kann man viele Sätze bilden.,With 'Masse' you can form many sentences.
933,Karte,card,'Karte' ist ein wichtiges Wort in der deutschen Sprache.,'Karte' is an important word in the German language.
934,Band,band,'Band' ist ein wichtiges Wort in der deutschen Sprache.,'Band' is an important word in the German language.
935,Seil,rope,Ich benutze oft das Wort 'Seil' im Alltag.,I often use the word 'Seil' in daily life.
936,Rutsch,slip,"Kannst du mir bitte erklären, was 'Rutsch' bedeutet?",Can you please explain to me what 'Rutsch' means?
937,gewinnen,win,Ich benutze oft das Wort 'gewinnen' im Alltag.,I often use the word 'gewinnen' in daily life.
938,träumen,dream,Mit 'träumen' kann man viele Sätze bilden.,With 'träumen' you can form many sentences.
939,Abend,evening,Ich benutze oft das Wort 'Abend' im Alltag.,I often use the word 'Abend' in daily life.
940,Zustand,condition,Mit 'Zustand' kann man viele Sätze bilden.,With 'Zustand' you can form many sentences.
941,Futtermittel,feed,"Gestern habe ich ein Buch gelesen, in dem oft 'Futtermittel' stand.",Yesterday I read a book in which often 'Futtermittel' appeared.
942,Werkzeug,tool,'Werkzeug' ist ein wichtiges Wort in der deutschen Sprache.,'Werkzeug' is an important word in the German language.
943,gesamt,total,Ich benutze oft das Wort 'gesamt' im Alltag.,I often use the word 'gesamt' in daily life.
944,Basis,basic,"Kannst du mir bitte erklären, was 'Basis' bedeutet?",Can you please explain to me what 'Basis' means?
945,Geruch,smell,Mit 'Geruch' kann man viele Sätze bilden.,With 'Geruch' you can form many sentences.
946,Tal,valley,"Kannst du mir bitte erklären, was 'Tal' bedeutet?",Can you please explain to me what 'Tal' means?
947,noch,nor,Mit 'noch' kann man viele Sätze bilden.,With 'noch' you can form many sentences.
948,doppelt,double,Mit 'doppelt' kann man viele Sätze bilden.,With 'doppelt' you can form many sentences.
949,Sitz,seat,"Kannst du mir bitte erklären, was 'Sitz' bedeutet?",Can you please explain to me what 'Sitz' means?
950,fortsetzen,continue,"Kannst du mir bitte erklären, was 'fortsetzen' bedeutet?",Can you please explain to me what 'fortsetzen' means?
951,Block,block,Ich benutze oft das Wort 'Block' im Alltag.,I often use the word 'Block' in daily life.
952,Tabelle,chart,"Kannst du mir bitte erklären, was 'Tabelle' bedeutet?",Can you please explain to me what 'Tabelle' means?
953,Hut,hat,"Gestern habe ich ein Buch gelesen, in dem oft 'Hut' stand.",Yesterday I read a book in which often 'Hut' appeared.
954,verkaufen,sell,"Gestern habe ich ein Buch gelesen, in dem oft 'verkaufen' stand.",Yesterday I read a book in which often 'verkaufen' appeared.
955,Erfolg,success,'Erfolg' ist ein wichtiges Wort in der deutschen Sprache.,'Erfolg' is an important word in the German language.
956,Firma,company,"Kannst du mir bitte erklären, was 'Firma' bedeutet?",Can you please explain to me what 'Firma' means?
957,subtrahieren,subtract,Ich benutze oft das Wort 'subtrahieren' im Alltag.,I often use the word 'subtrahieren' in daily life.
958,Veranstaltung,event,Ich benutze oft das Wort 'Veranstaltung' im Alltag.,I often use the word 'Veranstaltung' in daily life.
959,besondere,particular,"Kannst du mir bitte erklären, was 'besondere' bedeutet?",Can you please explain to me what 'besondere' means?
960,viel,deal,'viel' ist ein wichtiges Wort in der deutschen Sprache.,'viel' is an important word in the German language.
961,schwimmen,swim,"Gestern habe ich ein Buch gelesen, in dem oft 'schwimmen' stand.",Yesterday I read a book in which often 'schwimmen' appeared.
962,Begriff,term,"Kannst du mir bitte erklären, was 'Begriff' bedeutet?",Can you please explain to me what 'Begriff' means?
963,Gegenteil,opposite,Ich benutze oft das Wort 'Gegenteil' im Alltag.,I often use the word 'Gegenteil' in daily life.
964,Frau,wife,Mit 'Frau' kann man viele Sätze bilden.,With 'Frau' you can form many sentences.
965,Schuh,shoe,"Gestern habe ich ein Buch gelesen, in dem oft 'Schuh' stand.",Yesterday I read a book in which often 'Schuh' appeared.
966,Schulter,shoulder,"Kannst du mir bitte erklären, was 'Schulter' bedeutet?",Can you please explain to me what 'Schulter' means?
967,Verbreitung,spread,Ich benutze oft das Wort 'Verbreitung' im Alltag.,I often use the word 'Verbreitung' in daily life.
968,arrangieren,arrange,Ich benutze oft das Wort 'arrangieren' im Alltag.,I often use the word 'arrangieren' in daily life.
969,Lager,camp,Mit 'Lager' kann man viele Sätze bilden.,With 'Lager' you can form many sentences.
970,erfinden,invent,Ich benutze oft das Wort 'erfinden' im Alltag.,I often use the word 'erfinden' in daily life.
971,Baumwolle,cotton,"Gestern habe ich ein Buch gelesen, in dem oft 'Baumwolle' stand.",Yesterday I read a book in which often 'Baumwolle' appeared.
972,geboren,born,Mit 'geboren' kann man viele Sätze bilden.,With 'geboren' you can form many sentences.
973,bestimmen,determine,"Kannst du mir bitte erklären, was 'bestimmen' bedeutet?",Can you please explain to me what 'bestimmen' means?
974,Quart,quart,"Kannst du mir bitte erklären, was 'Quart' bedeutet?",Can you please explain to me what 'Quart' means?
975,neun,nine,'neun' ist ein wichtiges Wort in der deutschen Sprache.,'neun' is an important word in the German language.
976,Lastwagen,truck,'Lastwagen' ist ein wichtiges Wort in der deutschen Sprache.,'Lastwagen' is an important word in the German language.
977,Lärm,noise,Ich benutze oft das Wort 'Lärm' im Alltag.,I often use the word 'Lärm' in daily life.
978,Ebene,level,"Gestern habe ich ein Buch gelesen, in dem oft 'Ebene' stand.",Yesterday I read a book in which often 'Ebene' appeared.
979,Chance,chance,Ich benutze oft das Wort 'Chance' im Alltag.,I often use the word 'Chance' in daily life.
980,sammeln,gather,Mit 'sammeln' kann man viele Sätze bilden.,With 'sammeln' you can form many sentences.
981,Geschäft,shop,Ich benutze oft das Wort 'Geschäft' im Alltag.,I often use the word 'Geschäft' in daily life.
982,Stretch,stretch,Ich benutze oft das Wort 'Stretch' im Alltag.,I often use the word 'Stretch' in daily life.
983,werfen,throw,Mit 'werfen' kann man viele Sätze bilden.,With 'werfen' you can form many sentences.
984,Glanz,shine,Ich benutze oft das Wort 'Glanz' im Alltag.,I often use the word 'Glanz' in daily life.
985,Immobilien,property,'Immobilien' ist ein wichtiges Wort in der deutschen Sprache.,'Immobilien' is an important word in the German language.
986,Spalte,column,'Spalte' ist ein wichtiges Wort in der deutschen Sprache.,'Spalte' is an important word in the German language.
987,Molekül,molecule,Mit 'Molekül' kann man viele Sätze bilden.,With 'Molekül' you can form many sentences.
988,wählen,select,"Gestern habe ich ein Buch gelesen, in dem oft 'wählen' stand.",Yesterday I read a book in which often 'wählen' appeared.
989,falsch,wrong,"Kannst du mir bitte erklären, was 'falsch' bedeutet?",Can you please explain to me what 'falsch' means?
990,grau,gray,Ich benutze oft das Wort 'grau' im Alltag.,I often use the word 'grau' in daily life.
991,Wiederholung,repeat,"Kannst du mir bitte erklären, was 'Wiederholung' bedeutet?",Can you please explain to me what 'Wiederholung' means?
992,erfordern,require,"Gestern habe ich ein Buch gelesen, in dem oft 'erfordern' stand.",Yesterday I read a book in which often 'erfordern' appeared.
993,breit,broad,Ich benutze oft das Wort 'breit' im Alltag.,I often use the word 'breit' in daily life.
994,vorbereiten,prepare,Ich benutze oft das Wort 'vorbereiten' im Alltag.,I often use the word 'vorbereiten' in daily life.
995,Salz,salt,"Kannst du mir bitte erklären, was 'Salz' bedeutet?",Can you please explain to me what 'Salz' means?
996,Nase,nose,'Nase' ist ein wichtiges Wort in der deutschen Sprache.,'Nase' is an important word in the German language.
997,mehreren,plural,Ich benutze oft das Wort 'mehreren' im Alltag.,I often use the word 'mehreren' in daily life.
998,Zorn,anger,"Kannst du mir bitte erklären, was 'Zorn' bedeutet?",Can you please explain to me what 'Zorn' means?
999,Anspruch,claim,Ich benutze oft das Wort 'Anspruch' im Alltag.,I often use the word 'Anspruch' in daily life.
1000,Kontinent,continent,'Kontinent' ist ein wichtiges Wort in der deutschen Sprache.,'Kontinent' is an important word in the German language.
